uuid,abstract,n_tokens_abstract,tokens_abstract,language
1aba2d17f9a6401a935bc82e19f3f733,"[ARTICLE] 210803 ©soompiYG Entertainment Shares #TREASURE's #Doyoung And #SoJungHwan Have Fully Recovered From COVID-19: https://soompi.com/article/1481999wpp/yg-entertainment-shares-treasures-doyoung-and-so-jung-hwan-have-fully-recovered-from-covid-19… #트레저 #トレジャー @treasuremembersYG Entertainment Shares TREASURE’s Doyoung And So Jung Hwan Have Fully Recovered From COVID-19TREASURE’s Doyoung and So Jung Hwan have completely recovered from COVID-19. Doyoung tested positive for the virus on July 13, and fellow member So Jung Hwan also tested positive on July 16 after...soompi.com",57,"['article', 'soompiyg', 'entertainment', 'shares', 'treasure', 'doyoung', 'sojunghwan', 'fully', 'recovered', 'covid', 'https', 'soompi', 'com', 'article', 'yg', 'entertainment', 'shares', 'treasures', 'doyoung', 'jung', 'hwan', 'fully', 'recovered', 'covid', '트레저', 'トレジャー', 'treasuremembersyg', 'entertainment', 'shares', 'treasure', 'doyoung', 'jung', 'hwan', 'fully', 'recovered', 'covid', 'doyoung', 'jung', 'hwan', 'completely', 'recovered', 'covid', 'doyoung', 'tested', 'positive', 'virus', 'july', 'fellow', 'member', 'jung', 'hwan', 'also', 'tested', 'positive', 'july', 'soompi', 'com']",en
3fc84ce7c68f4c68bc86a048500cf3bd,"""We have to pay attention to it in a very different way and set up a long-term strategy that will allow us to adapt to the new COVID world,” said Dr. Brian Conway, medical director of Vancouver Infectious Diseases Centre.COVID-19: What does ‘endemic’ mean and are we there yet? | Globalnews.caDr. Brian Conway, medical director of Vancouver Infectious Diseases Centre, said an endemic infection is one that still needs to be dealt with on an ongoing basis.globalnews.ca",49,"['pay', 'attention', 'different', 'way', 'set', 'long', 'term', 'strategy', 'allow', 'us', 'adapt', 'new', 'covid', 'world', 'said', 'dr', 'brian', 'conway', 'medical', 'director', 'vancouver', 'infectious', 'diseases', 'centre', 'covid', 'endemic', 'mean', 'yet', 'globalnews', 'cadr', 'brian', 'conway', 'medical', 'director', 'vancouver', 'infectious', 'diseases', 'centre', 'said', 'endemic', 'infection', 'one', 'still', 'needs', 'dealt', 'ongoing', 'basis', 'globalnews', 'ca']",en
9fb146447d254de5a4b0ce44ffcb16b7,"Replying to @GeorgeMonks11My husband is a doc here in OKC, and we had an acquaintance life-flighted to Denver because there were no ICU beds anywhere.  Folks don’t understand that it’s not just COVID that this affects…",15,"['replying', 'husband', 'doc', 'okc', 'acquaintance', 'life', 'flighted', 'denver', 'icu', 'beds', 'anywhere', 'folks', 'understand', 'covid', 'affects']",en
3e578e603abc4b9782e47a03bc580fb4,#ICYMI Ontario universities that require all students to get COVID-19 vaccines are staring down the barrel of a legal confrontation. #cdnpoli #onpoliOntario universities face legal fight over vaccination mandatesThe Constitutional Rights Centre announced on July 26 that it had sent legal notices to Western University and Seneca College. The documents threaten lawsuits unless the universities scrap their...tnc.news,40,"['icymi', 'ontario', 'universities', 'require', 'students', 'get', 'covid', 'vaccines', 'staring', 'barrel', 'legal', 'confrontation', 'cdnpoli', 'onpoliontario', 'universities', 'face', 'legal', 'fight', 'vaccination', 'mandatesthe', 'constitutional', 'rights', 'centre', 'announced', 'july', 'sent', 'legal', 'notices', 'western', 'university', 'seneca', 'college', 'documents', 'threaten', 'lawsuits', 'unless', 'universities', 'scrap', 'tnc', 'news']",en
94ca3ad739e044d398d27732aed7c782,Pretty sure my entire family got covid,6,"['pretty', 'sure', 'entire', 'family', 'got', 'covid']",en
d44785df48ee4f2ea0ee316a448134b9,"""No one can divide us in RELIGION""As the 3rd wave of Covid-19 intensified, Christian youths in #Bhamo Tsp, Kachin State were spraying pesticides free of charge.#OurGovernmentNUG#WhatsHappeningInMyanmar#Aug3Coup",19,"['one', 'divide', 'us', 'religion', 'wave', 'covid', 'intensified', 'christian', 'youths', 'bhamo', 'tsp', 'kachin', 'state', 'spraying', 'pesticides', 'free', 'charge', 'ourgovernmentnug', 'whatshappeninginmyanmar']",en
93cffc3c050a447dab3ddfc86f19f1d3,Ableds don't give a shit about people with chronic illness. They don't spend one second of their lives thinking about what living with chronic illness and disability is like. And so they'll say mild covid is no big deal and not even think twice about the implications of that lie.,26,"['ableds', 'give', 'shit', 'people', 'chronic', 'illness', 'spend', 'one', 'second', 'lives', 'thinking', 'living', 'chronic', 'illness', 'disability', 'like', 'say', 'mild', 'covid', 'big', 'deal', 'even', 'think', 'twice', 'implications', 'lie']",en
051adf651cc24224bd30b3112b6412f0,"As the third wave of Covid-19 intensifies, Christian youths in #Bhamo are distributing pesticides free of charge, according to local youths.#WhatsHappeningInMyanmar #Aug3Coup #OurGovernmentNUG",16,"['third', 'wave', 'covid', 'intensifies', 'christian', 'youths', 'bhamo', 'distributing', 'pesticides', 'free', 'charge', 'according', 'local', 'youths', 'whatshappeninginmyanmar', 'ourgovernmentnug']",en
2afccca99a9c4451a4f348a102401aec,"South Florida Medical Officers Say Delta Variant, Unvaccinated Driving COVID-19 NumbersSouth Florida Medical Officers Say Delta Variant, Unvaccinated Driving COVID-19 NumbersHospital medical directors say the surge happened quickly. COVID-19 has returned, infecting mostly the unvaccinated. One hospital in South Florida reports a 50% increase in COVID cases from last...nbcmiami.com",43,"['south', 'florida', 'medical', 'officers', 'say', 'delta', 'variant', 'unvaccinated', 'driving', 'covid', 'numberssouth', 'florida', 'medical', 'officers', 'say', 'delta', 'variant', 'unvaccinated', 'driving', 'covid', 'numbershospital', 'medical', 'directors', 'say', 'surge', 'happened', 'quickly', 'covid', 'returned', 'infecting', 'mostly', 'unvaccinated', 'one', 'hospital', 'south', 'florida', 'reports', 'increase', 'covid', 'cases', 'last', 'nbcmiami', 'com']",en
98e6c1f561444abf8d40b73a70cace03,#COVID19 in #Mumbai: #Maharashtra #Congress demands resuming #localtrain service for those inoculated #mumbailocal @BhaiJagtap1COVID-19 in Mumbai: Maharashtra Congress demands resuming local train service for those inoculatedfreepressjournal.in,18,"['mumbai', 'maharashtra', 'congress', 'demands', 'resuming', 'localtrain', 'service', 'inoculated', 'mumbailocal', 'mumbai', 'maharashtra', 'congress', 'demands', 'resuming', 'local', 'train', 'service', 'inoculatedfreepressjournal']",en
fc5b336ee8a84da9a424023e191ad8e3,can’t believe we basically have had COVID figured out here in America for months but just needed to get everyone on board… for free.and a sizable portion of the country just refused to do that for no reason whatsoever.,17,"['believe', 'basically', 'covid', 'figured', 'america', 'months', 'needed', 'get', 'everyone', 'board', 'free', 'sizable', 'portion', 'country', 'refused', 'reason', 'whatsoever']",en
84b809309ab84bdbbe14d7daa02c1bf3,SA COVID UPDATE: Police Commissioner Grant Stevens will address South Australians at 2.30pm. Join 7NEWS for the latest update from authorities LIVE on our Facebook page with comprehensive coverage in 7NEWS Adelaide at 6pm on @Ch7Adelaide | http://7NEWS.com.au #7NEWS,23,"['sa', 'covid', 'update', 'police', 'commissioner', 'grant', 'stevens', 'address', 'south', 'australians', 'join', 'latest', 'update', 'authorities', 'live', 'facebook', 'page', 'comprehensive', 'coverage', 'adelaide', 'http', 'com', 'au']",en
efb5a0f8406a417183da138a6ca51c51,"Gonna need to talk 2 that damn school board. I have most of the data in my head, but does anyone have a handy ""cheat sheet"" or pdf on covid facts, cdc, fda misinfo, etc. I can't take this shit no more. Gotta #FightBack and #GetLoud Stop this insanity. Thank u!",28,"['gonna', 'need', 'talk', 'damn', 'school', 'board', 'data', 'head', 'anyone', 'handy', 'cheat', 'sheet', 'pdf', 'covid', 'facts', 'cdc', 'fda', 'misinfo', 'etc', 'take', 'shit', 'gotta', 'fightback', 'getloud', 'stop', 'insanity', 'thank', 'u']",en
9511baa5c0984ec5812a0701ac7c4f9c,"""The Pentagon will continue issuing accelerated payments to defense contractors indefinitely to buffer the impact of Covid-19 on their defense workforce and on program delays after expediting $5.3 billion through June.""#USA #DIBPentagon Contractors Still Get Accelerated Funds Tied to CovidThe Pentagon will continue issuing accelerated payments to defense contractors indefinitely to buffer the impact of Covid-19 on their defense workforce and on program delays after expediting $5.3...bloomberg.com",45,"['pentagon', 'continue', 'issuing', 'accelerated', 'payments', 'defense', 'contractors', 'indefinitely', 'buffer', 'impact', 'covid', 'defense', 'workforce', 'program', 'delays', 'expediting', 'billion', 'june', 'usa', 'dibpentagon', 'contractors', 'still', 'get', 'accelerated', 'funds', 'tied', 'covidthe', 'pentagon', 'continue', 'issuing', 'accelerated', 'payments', 'defense', 'contractors', 'indefinitely', 'buffer', 'impact', 'covid', 'defense', 'workforce', 'program', 'delays', 'expediting', 'bloomberg', 'com']",en
5b8a929b75aa44789760e4c2174a50f5,A depressing number on Republicans and the vaccine: The White House announced Monday that 70% of eligible Americans have received at least one shot of the Covid-19 vaccine.,16,"['depressing', 'number', 'republicans', 'vaccine', 'white', 'house', 'announced', 'monday', 'eligible', 'americans', 'received', 'least', 'one', 'shot', 'covid', 'vaccine']",en
60974262258e4e7890f96f58c2b3a97d,"The president of the Alabama Hospital Association said a worst-case scenario projection shows nearly 8,000 COVID patients could soon find themselves in the hospital.Alabama hospitals prepare for COVID surge againThe president of the Alabama Hospital Association said a worst-case scenario projection shows nearly 8,000 COVID patients could soon find themselves in the hospital.wbrc.com",42,"['president', 'alabama', 'hospital', 'association', 'said', 'worst', 'case', 'scenario', 'projection', 'shows', 'nearly', 'covid', 'patients', 'could', 'soon', 'find', 'hospital', 'alabama', 'hospitals', 'prepare', 'covid', 'surge', 'againthe', 'president', 'alabama', 'hospital', 'association', 'said', 'worst', 'case', 'scenario', 'projection', 'shows', 'nearly', 'covid', 'patients', 'could', 'soon', 'find', 'hospital', 'wbrc', 'com']",en
cd7676427e8a4285b87c542329a67396,"#SCUFaculty Laura Ellingson (@scucomm) wrote an article for @sfchronicle on the long term effects of COVID, drawing from her own personal experiences with health issues. Read the full piece What cancer taught me about long-haul COVID: Everyone stops caring after you surviveTake if from this cancer survivor: Long-haul COVID sufferers have a hard road ahead.sfchronicle.com",39,"['scufaculty', 'laura', 'ellingson', 'scucomm', 'wrote', 'article', 'sfchronicle', 'long', 'term', 'effects', 'covid', 'drawing', 'personal', 'experiences', 'health', 'issues', 'read', 'full', 'piece', 'cancer', 'taught', 'long', 'haul', 'covid', 'everyone', 'stops', 'caring', 'survivetake', 'cancer', 'survivor', 'long', 'haul', 'covid', 'sufferers', 'hard', 'road', 'ahead', 'sfchronicle', 'com']",en
ee3c5e3a7fa34584a53f8f6dd03a87fb,"Welcome back  Doyoung and JunghwanFans Celebrate As TREASURE’s Doyoung and Junghwan Make Their First Public Appearance Since COVID-19 Diagnosis via @Koreaboo https://koreaboo.com/news/fans-celebrate-treasure-doyoung-junghwan-make-first-public-appearance-since-covid-19-diagnosis/…#TREASURE #トレジャー #트레저 @treasurememberFans Celebrate As TREASURE's Doyoung and Junghwan Make Their First Public Appearance Since COVID-19...On August 2, TREASURE's Doyoung and Junghwan were seen with the group for the first time since their COVID-19 diagnosis outside of YG Entertainment.koreaboo.com",63,"['welcome', 'back', 'doyoung', 'junghwanfans', 'celebrate', 'treasure', 'doyoung', 'junghwan', 'make', 'first', 'public', 'appearance', 'since', 'covid', 'diagnosis', 'via', 'koreaboo', 'https', 'koreaboo', 'com', 'news', 'fans', 'celebrate', 'treasure', 'doyoung', 'junghwan', 'make', 'first', 'public', 'appearance', 'since', 'covid', 'diagnosis', 'treasure', 'トレジャー', '트레저', 'treasurememberfans', 'celebrate', 'treasure', 'doyoung', 'junghwan', 'make', 'first', 'public', 'appearance', 'since', 'covid', 'august', 'treasure', 'doyoung', 'junghwan', 'seen', 'group', 'first', 'time', 'since', 'covid', 'diagnosis', 'outside', 'yg', 'entertainment', 'koreaboo', 'com']",en
d23a2b5a39f945239eec2db2d57d8854,"""No one can divide us in RELIGION""As the 3rd wave of Covid-19 intensified, Christian youths in #Bhamo Tsp, Kachin State were spraying pesticides free of charge.#OurGovernmentNUG#Aug3Coup #WhatsHappeningInMyanmar",19,"['one', 'divide', 'us', 'religion', 'wave', 'covid', 'intensified', 'christian', 'youths', 'bhamo', 'tsp', 'kachin', 'state', 'spraying', 'pesticides', 'free', 'charge', 'ourgovernmentnug', 'whatshappeninginmyanmar']",en
973875a280eb43dfb2a26865cef2043e,"Went through the CDC's data on #COVID for #SWFL: https://covid.cdc.gov/covid-data-tracker/#county-view…The trend lines are pretty clear, with increases in case #/positivity rate/hospitalizations very similar in all three of our largest #SWFL counties (Collier hospitalization is an outlier).COVID Data TrackerCDC’s home for COVID-19 data. Visualizations, graphs, and data in one easy-to-use website.covid.cdc.gov",47,"['went', 'cdc', 'data', 'covid', 'swfl', 'https', 'covid', 'cdc', 'gov', 'covid', 'data', 'tracker', 'county', 'view', 'trend', 'lines', 'pretty', 'clear', 'increases', 'case', 'positivity', 'rate', 'hospitalizations', 'similar', 'three', 'largest', 'swfl', 'counties', 'collier', 'hospitalization', 'outlier', 'covid', 'data', 'trackercdc', 'home', 'covid', 'data', 'visualizations', 'graphs', 'data', 'one', 'easy', 'use', 'website', 'covid', 'cdc', 'gov']",en
201c18b2770a4a57bc9a826da89e2a39,"we see  $XBIO jump and now $TBIO = trending next is $IBIO = #biotech season is coming friends #Delta?What is the best leading stock to invest in for the ""Delta variant"" Covid period?Answer: This is such an interesting question that I can’t help but an attempt an answer, but I’m afraid my answer is pretty boring: It’s going to be one of the stocks that did well during the first...quora.com",37,"['see', 'xbio', 'jump', 'tbio', 'trending', 'next', 'ibio', 'biotech', 'season', 'coming', 'friends', 'delta', 'best', 'leading', 'stock', 'invest', 'delta', 'variant', 'covid', 'period', 'answer', 'interesting', 'question', 'help', 'attempt', 'answer', 'afraid', 'answer', 'pretty', 'boring', 'going', 'one', 'stocks', 'well', 'first', 'quora', 'com']",en
358d9f4ebbdf45d6904525e80ee3cfc3,#Promote9th_and11th_class#cancelboardexams2021#COVID19#SaveLives Cancel board exams 9 and 11 class...I don't want to die with covid...,8,"['savelives', 'cancel', 'board', 'exams', 'class', 'want', 'die', 'covid']",en
a7fa8b5898d241369ca5984fc5d01d3c,NCDHHS still hasn’t identified the third winner of the COVID-19 vaccine lottery but is supposed to draw a fourth winner in two days. Odd,15,"['ncdhhs', 'still', 'identified', 'third', 'winner', 'covid', 'vaccine', 'lottery', 'supposed', 'draw', 'fourth', 'winner', 'two', 'days', 'odd']",en
e82ad5d7f1f045cd84bb21a17d98d88b,"Queensland health authorities say there are signs the growing COVID-19 outbreak is “branching off”, with “missing cases” between initial infections. #COVID19 #7NEWSFears Queensland’s growing COVID outbreak is now ‘branching off’With missing cases between the initial infections, health authorities are worried another outbreak is looming.7news.com.au",30,"['queensland', 'health', 'authorities', 'say', 'signs', 'growing', 'covid', 'outbreak', 'branching', 'missing', 'cases', 'initial', 'infections', 'queensland', 'growing', 'covid', 'outbreak', 'branching', 'missing', 'cases', 'initial', 'infections', 'health', 'authorities', 'worried', 'another', 'outbreak', 'looming', 'com', 'au']",en
48964af3a69e4278ab51225e0241c407,"Good times at Blue Jays game, fuck covid",7,"['good', 'times', 'blue', 'jays', 'game', 'fuck', 'covid']",en
b911a722773245bbaaebc7f5a113a76b,"Although studies show people who had #COVID19 and survived have some level of immunity, public health agencies still recommend they #getvaccinated.No, people who recovered from COVID-19 are not completely immune to the virusAlthough studies show people who had COVID-19 and survived have some level of immunity, public health agencies still recommend they get vaccinated.wcnc.com",35,"['although', 'studies', 'show', 'people', 'survived', 'level', 'immunity', 'public', 'health', 'agencies', 'still', 'recommend', 'getvaccinated', 'people', 'recovered', 'covid', 'completely', 'immune', 'virusalthough', 'studies', 'show', 'people', 'covid', 'survived', 'level', 'immunity', 'public', 'health', 'agencies', 'still', 'recommend', 'get', 'vaccinated', 'wcnc', 'com']",en
dedc99d099b84ff0a89c5dbc94b7d1dd,"2 Florida counties lead all of US in new COVID hospitalizations - Newsweek.  #TyphoidTucker #DeathSantis #FoxVariant2 Florida counties lead all of US in new COVID hospitalizationsAugust 02, 2021apple.news",18,"['florida', 'counties', 'lead', 'us', 'new', 'covid', 'hospitalizations', 'newsweek', 'typhoidtucker', 'deathsantis', 'florida', 'counties', 'lead', 'us', 'new', 'covid', 'hospitalizationsaugust', 'news']",en
6249a6e3215048fa910cf76346d1410f,"Queensland health authorities say there are signs the growing COVID-19 outbreak is “branching off”, with “missing cases” between initial infections. #COVID19 #7NEWSFears Queensland’s growing COVID outbreak is now ‘branching off’With missing cases between the initial infections, health authorities are worried another outbreak is looming.7news.com.au",30,"['queensland', 'health', 'authorities', 'say', 'signs', 'growing', 'covid', 'outbreak', 'branching', 'missing', 'cases', 'initial', 'infections', 'queensland', 'growing', 'covid', 'outbreak', 'branching', 'missing', 'cases', 'initial', 'infections', 'health', 'authorities', 'worried', 'another', 'outbreak', 'looming', 'com', 'au']",en
09da314d4d9e478aaa0f1f02ab45d597,"BTOB Minhyuk Updates Fans on Current Condition after Recovering from COVID-19 | follow for #kpop & #kdrama updatesBTOB Minhyuk Updates Fans on Current Condition after Recovering from COVID-19After recovering from COVID-19, BTOB Minhyuk held an Instagram live to update fans on his condition. #BTOBMinhyuk #BTOBkpopstarz.com",32,"['btob', 'minhyuk', 'updates', 'fans', 'current', 'condition', 'recovering', 'covid', 'follow', 'kpop', 'kdrama', 'updatesbtob', 'minhyuk', 'updates', 'fans', 'current', 'condition', 'recovering', 'covid', 'recovering', 'covid', 'btob', 'minhyuk', 'held', 'instagram', 'live', 'update', 'fans', 'condition', 'btobminhyuk', 'btobkpopstarz', 'com']",en
1d2f749a2c6b4ba5b65432b62469ffcd,"Tokyo Olympics see 18 more COVID-19 cases, total nearing 300#Tokyo2020 #coronavirusTokyo Olympics see 18 more COVID-19 cases, total nearing 300Eighteen more people associated with the Tokyo Olympics have tested positive for COVID-19, bringing the total since the start of July to 294, games organizers said on Aug. 3.english.kyodonews.net",33,"['tokyo', 'olympics', 'see', 'covid', 'cases', 'total', 'nearing', 'coronavirustokyo', 'olympics', 'see', 'covid', 'cases', 'total', 'nearing', 'people', 'associated', 'tokyo', 'olympics', 'tested', 'positive', 'covid', 'bringing', 'total', 'since', 'start', 'july', 'games', 'organizers', 'said', 'aug', 'english', 'kyodonews', 'net']",en
